,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurtosis
PTJE_RANKING,3859.0,712.989634620368,86.01713210397475,414.0,565.0,652.0,715.0,777.0,850.0,850.0,-0.2573689811911573,-0.47482469015537987
PTJE_LYC,3865.0,594.2351875808538,75.95683504793512,212.0,471.0,546.0,597.0,645.0,721.0,818.0,-0.1257211245711908,0.46893455244199744
PTJE_MAT,3865.0,604.7976714100905,70.35511774505072,194.0,485.0,563.0,607.0,653.0,707.0,819.0,-0.5673276063112568,1.646799917776078
VAI,3866.0,0.09699948266942576,0.29599534715363623,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7244287020603966,5.425318168249369
BAP,3866.0,0.10631143300569064,0.3082756788776779,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5554551755658133,4.532695789055159
Tut_20161,411.0,14.386861313868613,8.232222390732368,1.0,3.0,9.0,13.0,17.0,30.0,48.0,1.2606348765199114,2.5140264072398004
Tut_20162,395.0,12.658227848101266,7.518312796655881,1.0,2.0,8.0,12.0,15.0,28.0,41.0,1.1245678510459614,1.849701199112035
Tasa_aprob_20161,3704.0,0.8047618147691042,0.2809075300004172,0.0,0.16666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,-1.4858827560570314,1.2541197934708972
Prom__20161,3705.0,4.7416239316239315,1.0740195070346523,1.0,2.31,4.34,5.0,5.46,5.977999999999998,6.72,-1.5104755833424819,2.5303905976322008
Tasa_aprob_20162,3371.0,0.7704490679135295,0.28370533092348593,0.0,0.16666666666666666,0.6,0.8571428571428571,1.0,1.0,1.0,-1.1873955106882355,0.4858136950061889
Prom__20162,3371.0,4.5472322752892325,1.0185282156871625,1.0,2.52,4.045,4.71,5.23,5.9,6.73,-0.994805877587968,1.2921760171421601
